,id,host_response_time,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,cancellation_policy,price_level
1013,3434710.0,2,100.0,1,2.0,1,1,94110.0,37.75908,-122.4182,1,1,2.0,1.0,1.0,1.0,1,120.0,200.0,100.0,30.0,300.0,33.0,0,1,"(36.9, 264.8]"
1014,3441517.0,2,100.0,1,1.0,1,23,94127.0,37.74333,-122.45074,2,1,2.0,1.0,1.0,1.0,1,150.0,0.0,40.0,3.0,29.0,142.0,0,1,"(36.9, 264.8]"
1015,3441949.0,1,100.0,0,1.0,1,15,94133.0,37.79699,-122.41601000000001,1,1,4.0,1.0,2.0,2.0,1,194.0,500.0,120.0,7.0,30.0,29.0,1,1,"(36.9, 264.8]"
1016,3442439.0,1,100.0,1,1.0,1,6,94110.0,37.73675,-122.42181000000001,1,1,2.0,1.0,1.0,1.0,1,100.0,0.0,45.0,2.0,21.0,132.0,0,3,"(36.9, 264.8]"
1017,3469030.0,nothing,0.0,0,1.0,1,2,94107.0,37.78117,-122.39761000000001,1,1,4.0,1.5,1.0,2.0,1,325.0,400.0,100.0,180.0,1125.0,40.0,0,1,"(264.8, 491.6]"
1018,3469254.0,1,100.0,1,3.0,1,3,94102.0,37.783359999999995,-122.42092,1,1,2.0,2.0,1.0,1.0,1,100.0,1000.0,75.0,30.0,60.0,9.0,0,2,"(36.9, 264.8]"
1019,3475515.0,2,100.0,0,35.0,1,13,94123.0,37.7964,-122.43558999999999,2,1,4.0,1.0,2.0,2.0,1,192.0,2500.0,300.0,30.0,1125.0,3.0,0,1,"(36.9, 264.8]"
1020,3476601.0,2,100.0,0,35.0,1,22,94109.0,37.79088,-122.42708,1,1,2.0,1.0,1.0,1.0,1,148.0,2500.0,250.0,30.0,1125.0,2.0,0,1,"(36.9, 264.8]"
1021,3479568.0,2,100.0,0,2.0,1,7,94117.0,37.77022,-122.44939,1,1,7.0,1.5,2.0,4.0,1,375.0,250.0,180.0,3.0,27.0,23.0,0,2,"(264.8, 491.6]"
1022,3482655.0,1,100.0,0,1.0,1,1,94110.0,37.75804,-122.42461999999999,1,1,2.0,1.0,1.0,1.0,1,310.0,0.0,125.0,30.0,180.0,39.0,0,1,"(264.8, 491.6]"
1023,3486460.0,1,100.0,1,4.0,1,11,94107.0,37.75727,-122.39818000000001,2,2,2.0,1.0,1.0,1.0,1,133.0,0.0,45.0,1.0,1125.0,316.0,0,2,"(36.9, 264.8]"
1024,3506164.0,1,100.0,1,1.0,1,8,94114.0,37.751259999999995,-122.42606,2,1,2.0,1.0,1.0,1.0,1,175.0,0.0,60.0,3.0,7.0,351.0,0,3,"(36.9, 264.8]"
1025,3512817.0,nothing,0.0,0,2.0,1,34,94131.0,37.746629999999996,-122.4426,1,2,2.0,1.0,1.0,1.0,1,80.0,500.0,125.0,7.0,1125.0,0.0,0,1,"(36.9, 264.8]"
1026,3519611.0,1,100.0,1,1.0,1,13,94123.0,37.80117,-122.44135,2,1,5.0,1.5,3.0,4.0,1,675.0,1000.0,0.0,3.0,45.0,26.0,0,1,"(491.6, 718.4]"
1027,3520817.0,3,100.0,0,1.0,1,5,94114.0,37.758070000000004,-122.42846000000002,2,1,6.0,3.5,3.0,3.0,1,850.0,850.0,200.0,30.0,1125.0,40.0,0,1,"(718.4, 945.2]"
1028,3522990.0,1,100.0,1,1.0,1,11,94107.0,37.75466,-122.40173,2,1,5.0,1.0,2.0,3.0,1,300.0,250.0,150.0,3.0,14.0,28.0,1,1,"(264.8, 491.6]"
1029,3532347.0,2,100.0,0,35.0,1,22,94109.0,37.79033,-122.42707,2,1,6.0,2.5,3.0,3.0,1,304.0,5000.0,375.0,30.0,1125.0,2.0,0,1,"(264.8, 491.6]"
1030,3534282.0,1,100.0,1,1.0,1,1,94110.0,37.76206,-122.42201000000001,1,2,2.0,1.0,1.0,1.0,1,119.0,0.0,50.0,3.0,29.0,121.0,0,2,"(36.9, 264.8]"
1031,3549398.0,1,100.0,1,1.0,1,5,94114.0,37.75644000000001,-122.4408,1,2,2.0,1.0,1.0,1.0,1,99.0,0.0,49.0,1.0,1125.0,403.0,0,2,"(36.9, 264.8]"
1032,3563261.0,2,100.0,1,1.0,1,8,94114.0,37.75374,-122.42679,1,1,4.0,1.0,1.0,1.0,1,185.0,250.0,100.0,30.0,1125.0,59.0,0,2,"(36.9, 264.8]"
1033,3565068.0,1,100.0,0,1.0,1,7,94117.0,37.77413,-122.44108999999999,1,1,5.0,2.0,3.0,4.0,1,400.0,600.0,150.0,4.0,1125.0,34.0,0,1,"(264.8, 491.6]"
1034,3571735.0,1,91.0,1,6.0,1,6,94112.0,37.7364,-122.42402,4,2,1.0,2.0,1.0,1.0,1,39.0,500.0,55.0,30.0,120.0,15.0,0,3,"(36.9, 264.8]"
1035,3585034.0,1,100.0,0,2.0,1,7,94117.0,37.7611,-122.44865,1,1,4.0,1.5,2.0,2.0,1,200.0,0.0,100.0,3.0,29.0,17.0,0,3,"(36.9, 264.8]"
1036,3591813.0,2,75.0,0,1.0,1,4,94117.0,37.77445,-122.43728999999999,1,1,4.0,1.5,2.0,2.0,1,300.0,500.0,150.0,30.0,1125.0,21.0,0,2,"(264.8, 491.6]"
1037,3594786.0,1,100.0,0,1.0,1,1,94110.0,37.75933,-122.41906999999999,1,2,4.0,2.0,2.0,2.0,1,250.0,500.0,75.0,2.0,30.0,108.0,0,2,"(36.9, 264.8]"
1038,3611131.0,1,100.0,0,1.0,1,4,94115.0,37.77827,-122.43966,1,1,2.0,1.0,1.0,1.0,1,199.0,250.0,95.0,2.0,30.0,218.0,0,2,"(36.9, 264.8]"
1039,3613500.0,1,100.0,1,3.0,1,28,94131.0,37.74711,-122.44678,2,2,4.0,1.0,2.0,2.0,1,425.0,800.0,200.0,3.0,1125.0,2.0,1,1,"(264.8, 491.6]"
1040,3629365.0,nothing,0.0,0,1.0,1,7,94117.0,37.76611,-122.44561000000002,1,1,4.0,1.0,2.0,1.0,1,160.0,600.0,150.0,31.0,1125.0,7.0,0,1,"(36.9, 264.8]"
1041,3630122.0,nothing,0.0,0,1.0,1,8,94114.0,37.75161,-122.4301,2,1,6.0,1.0,3.0,3.0,1,675.0,775.0,250.0,5.0,28.0,4.0,0,1,"(491.6, 718.4]"
1042,3655811.0,2,100.0,0,35.0,1,15,94109.0,37.79851,-122.42066000000001,2,1,2.0,1.0,1.0,1.0,1,148.0,2500.0,250.0,30.0,1125.0,9.0,0,1,"(36.9, 264.8]"
1043,3656251.0,1,100.0,1,2.0,1,6,94110.0,37.737590000000004,-122.42298999999998,2,2,2.0,1.0,1.0,1.0,1,72.0,200.0,45.0,1.0,1125.0,162.0,1,1,"(36.9, 264.8]"
1044,3664261.0,3,80.0,1,1.0,1,5,94114.0,37.7654,-122.43743,1,1,5.0,1.0,2.0,2.0,1,229.0,0.0,50.0,2.0,7.0,199.0,0,1,"(36.9, 264.8]"
1045,3664693.0,1,100.0,0,1.0,1,3,94109.0,37.788779999999996,-122.41197,1,1,2.0,1.0,0.0,1.0,1,86.0,300.0,150.0,30.0,30.0,26.0,1,1,"(36.9, 264.8]"
1046,3672198.0,2,100.0,0,3.0,1,22,94109.0,37.79753,-122.42392,1,1,2.0,1.0,1.0,1.0,1,180.0,0.0,60.0,30.0,110.0,115.0,0,2,"(36.9, 264.8]"
1047,3689368.0,nothing,0.0,0,2.0,1,14,94124.0,37.72837,-122.3978,2,1,6.0,1.0,2.0,3.0,1,224.0,200.0,110.0,1.0,26.0,298.0,0,1,"(36.9, 264.8]"
1048,3697738.0,2,100.0,1,2.0,1,7,94117.0,37.7677,-122.44893,1,1,7.0,1.5,3.0,4.0,1,260.0,2000.0,200.0,30.0,360.0,10.0,0,1,"(36.9, 264.8]"
1049,3712976.0,1,100.0,1,1.0,1,29,94131.0,37.73836,-122.42705,1,1,4.0,1.0,2.0,2.0,1,178.0,500.0,250.0,30.0,360.0,26.0,0,2,"(36.9, 264.8]"
1050,3716504.0,1,100.0,1,4.0,1,1,94110.0,37.749140000000004,-122.41878,1,2,2.0,1.0,1.0,2.0,1,95.0,100.0,0.0,5.0,45.0,122.0,1,2,"(36.9, 264.8]"
1051,3718865.0,nothing,0.0,1,1.0,1,18,94112.0,37.71954,-122.42683999999998,1,1,2.0,1.0,1.0,1.0,1,117.0,0.0,0.0,4.0,4.0,185.0,0,2,"(36.9, 264.8]"
1052,3719923.0,2,100.0,1,2.0,1,29,94131.0,37.74152,-122.42617,1,2,1.0,1.0,1.0,1.0,1,80.0,150.0,75.0,3.0,150.0,5.0,0,2,"(36.9, 264.8]"
1053,3720392.0,1,100.0,1,2.0,1,17,94122.0,37.76099,-122.46521000000001,1,1,2.0,1.0,1.0,1.0,1,141.0,350.0,50.0,2.0,28.0,281.0,1,2,"(36.9, 264.8]"
1054,3721927.0,1,100.0,1,2.0,1,17,94122.0,37.75927,-122.46311000000001,1,1,2.0,1.0,1.0,1.0,1,199.0,350.0,50.0,3.0,28.0,286.0,1,2,"(36.9, 264.8]"
1055,3727061.0,nothing,0.0,0,2.0,1,1,94110.0,37.755109999999995,-122.41515,1,1,6.0,2.0,3.0,3.0,1,425.0,500.0,105.0,30.0,1125.0,122.0,0,2,"(264.8, 491.6]"
1056,3743219.0,2,100.0,0,1.0,1,8,94114.0,37.75091,-122.43731000000001,1,1,3.0,1.0,1.0,1.0,1,120.0,1500.0,150.0,30.0,1125.0,4.0,0,1,"(36.9, 264.8]"
1057,3757966.0,1,100.0,0,1.0,1,7,94117.0,37.762229999999995,-122.44967,1,1,2.0,1.0,1.0,1.0,1,200.0,250.0,100.0,30.0,1125.0,32.0,0,1,"(36.9, 264.8]"
1058,3759246.0,1,100.0,0,1.0,1,10,94122.0,37.75575,-122.47917,1,1,2.0,1.0,1.0,1.0,1,99.0,0.0,25.0,3.0,28.0,367.0,1,2,"(36.9, 264.8]"
1059,3759368.0,1,100.0,1,1.0,1,5,94114.0,37.7661,-122.4352,1,1,3.0,1.0,0.0,2.0,1,165.0,300.0,65.0,3.0,1125.0,298.0,0,1,"(36.9, 264.8]"
1060,3761446.0,1,100.0,1,1.0,1,9,94109.0,37.79148,-122.41386000000001,1,1,14.0,2.0,3.0,5.0,1,1172.0399999999972,0.0,200.0,2.0,1125.0,40.0,0,3,"(945.2, 1172.0]"
1061,3767907.0,1,100.0,1,3.0,1,3,94102.0,37.78007,-122.4194,1,1,5.0,2.0,2.0,4.0,1,230.0,1500.0,100.0,30.0,365.0,31.0,0,1,"(36.9, 264.8]"
1062,3775090.0,nothing,0.0,0,1.0,1,13,94123.0,37.802279999999996,-122.42947,1,1,2.0,1.0,0.0,1.0,1,122.0,350.0,150.0,30.0,30.0,16.0,0,1,"(36.9, 264.8]"
1063,3780418.0,1,100.0,1,1.0,1,2,94103.0,37.77576,-122.41548999999999,1,1,2.0,1.0,0.0,1.0,1,170.0,250.0,45.0,2.0,1125.0,342.0,0,2,"(36.9, 264.8]"
1064,3791003.0,1,100.0,0,1.0,1,5,94114.0,37.75667,-122.43671,2,1,8.0,2.5,4.0,4.0,1,375.0,0.0,225.0,2.0,30.0,21.0,0,1,"(264.8, 491.6]"
1065,3792754.0,3,100.0,0,1.0,1,12,94118.0,37.77786,-122.46568,1,1,6.0,1.0,2.0,4.0,1,250.0,500.0,150.0,3.0,21.0,48.0,0,1,"(36.9, 264.8]"
1066,3793678.0,1,100.0,1,1.0,1,21,94121.0,37.77444000000001,-122.48746000000001,1,1,3.0,1.0,1.0,1.0,1,164.0,250.0,95.0,5.0,1125.0,78.0,0,1,"(36.9, 264.8]"
1067,3793831.0,2,100.0,0,1.0,1,5,94103.0,37.76512,-122.4268,1,1,3.0,1.0,1.0,1.0,1,199.0,200.0,75.0,30.0,60.0,163.0,0,1,"(36.9, 264.8]"
1068,3808193.0,2,100.0,1,3.0,1,17,94122.0,37.765159999999995,-122.47378,1,1,2.0,1.0,1.0,1.0,1,295.0,500.0,100.0,30.0,1125.0,25.0,0,1,"(264.8, 491.6]"
1069,3811916.0,2,100.0,1,1.0,1,5,94114.0,37.75656,-122.43436000000001,2,2,2.0,1.0,1.0,1.0,1,130.0,500.0,60.0,3.0,120.0,223.0,0,2,"(36.9, 264.8]"
1070,3812931.0,1,100.0,1,1.0,1,1,94107.0,37.7547,-122.40303,1,1,2.0,1.0,1.0,1.0,1,129.0,2000.0,80.0,30.0,365.0,103.0,1,2,"(36.9, 264.8]"
1071,3832296.0,1,100.0,0,1.0,1,19,94112.0,37.7283,-122.44826,1,1,2.0,1.0,1.0,1.0,1,150.0,100.0,60.0,3.0,29.0,146.0,1,1,"(36.9, 264.8]"
1072,3844037.0,4,43.0,0,1.0,1,4,94102.0,37.773709999999994,-122.42472,2,1,4.0,1.0,2.0,2.0,1,99.0,350.0,119.0,30.0,100.0,131.0,0,2,"(36.9, 264.8]"
1073,3852803.0,1,100.0,1,2.0,1,12,94118.0,37.77822000000001,-122.45657,2,1,6.0,2.0,3.0,3.0,1,265.0,3000.0,200.0,30.0,270.0,14.0,0,2,"(264.8, 491.6]"
1074,3862478.0,2,100.0,0,2.0,1,8,94131.0,37.74491,-122.43269,1,1,4.0,2.0,2.0,3.0,1,400.0,1000.0,250.0,31.0,1125.0,1.0,0,1,"(264.8, 491.6]"
1075,3870174.0,2,92.0,1,2.0,1,4,94115.0,37.77815,-122.43697,2,2,2.0,1.0,1.0,2.0,1,99.0,100.0,100.0,2.0,28.0,206.0,0,2,"(36.9, 264.8]"
1076,3883252.0,1,100.0,1,1.0,1,1,94103.0,37.76829,-122.42478999999999,2,1,2.0,1.0,1.0,1.0,1,165.0,500.0,88.0,3.0,30.0,216.0,0,2,"(36.9, 264.8]"
1077,3889219.0,1,100.0,1,3.0,1,22,94123.0,37.79659,-122.42751000000001,1,1,4.0,1.5,2.0,2.0,1,495.0,0.0,300.0,3.0,1125.0,34.0,1,1,"(491.6, 718.4]"
1078,3890704.0,1,100.0,0,5.0,1,4,94117.0,37.7709,-122.42853999999998,1,1,2.0,3.0,2.0,2.0,1,180.0,1000.0,95.0,30.0,170.0,28.0,0,2,"(36.9, 264.8]"
1079,3895335.0,nothing,0.0,0,1.0,1,6,94110.0,37.736709999999995,-122.41441999999999,1,2,1.0,1.0,1.0,1.0,1,90.0,100.0,20.0,30.0,365.0,8.0,0,2,"(36.9, 264.8]"
1080,3895951.0,1,100.0,0,0.0,1,5,94114.0,37.76395,-122.43472,1,1,2.0,1.0,1.0,1.0,1,165.0,0.0,250.0,30.0,90.0,71.0,0,2,"(36.9, 264.8]"
1081,3924524.0,3,100.0,0,1.0,1,11,94107.0,37.75843,-122.40183999999999,1,2,2.0,1.0,0.0,1.0,1,95.0,300.0,70.0,30.0,1125.0,94.0,0,1,"(36.9, 264.8]"
